month_id,access_method_num,imei,imsi,imsi_sim2fly,subscription_identifier,start_of_month
2020-11,NULL,NULL,#NAME?,ORIaBdiDdMMnGclNM.+1jo1NJO2XjRzS18EbhuYyk9zK+fKdDzF43go4VayB5MFK,NULL,202011
2020-11,NULL,NULL,#NAME?,OfToo6HJ38TQUQ0DSsCvYomuVczvNDT1FP6.Ts4HoYlKMr7PvjJGoha3YFXwmgJk,NULL,202011
2020-11,NULL,NULL,#NAME?,P8zFNpqWOPSFdJmpEuwSps0CZbJQEVfDXOj0qwKZ6zuatwdarox6VWtOgZ1Yo9J.,NULL,202011
2020-11,NULL,NULL,#NAME?,QgsIojVhMy.qn7F9fhRIo63RSMfXRVdEG+xWLKh5UXqsmHYr3jcmVlahrVPtkDV8,NULL,202011
2020-11,NULL,NULL,#NAME?,QsQT9Ya89a+VvRj3cGHrjx8nC6CtOhELWh3TUWegoVLlGpcnA7DNSCCukRv0f3Re,NULL,202011
2020-11,NULL,NULL,#NAME?,RtrJF8AK8F6E8oCoxlOOBQYoHW7YwlJVZloCUknrnFS3E1F+tUA34adU.rha0ec2,NULL,202011
2020-11,NULL,NULL,#NAME?,SEahVl9SxHRZcVJlRm.pGsxNv1e5BbGY7ghr3NU77LCC6HLwFU9HMcIoKCvm94XH,NULL,202011
2020-11,NULL,NULL,#NAME?,TAA6WTFfoUOA0jC2O4hS3mLrpbykecB9IEJ9FiVYyPiQ4HB2Aqib1645ZsHiifcm,NULL,202011
2020-11,NULL,NULL,#NAME?,TFrE0AJMKs0RcMJ6wHKigRJWn.FZ8sStvU8GB7VUSGG4saM+dAaYVtLsu5fVuX87,NULL,202011
2020-11,NULL,NULL,#NAME?,TFwNT1kYGD2OddacHE7Hk6rWBOxpXXEid+pRs63UMFI1iiwYwjHHZe3hdnLtjEm.,NULL,202011
2020-11,NULL,NULL,+K0V+gVWsMYa1ZitwCR+.q486Fg56oneuZiCsWlgQBnQqtT5QUsWq9CYr72UAwN9,TW4lATvtrD218Ucc24EajjGp49aDkqQuxd.4LtFntor0tX7kdqZikEVb.7vD7QO0,NULL,202011
2020-11,NULL,NULL,+KU+JU0KhM38u+C+j+ZgxwdYAWmqTmFYn5Q+ZnBbqY0AS3qdCr7kF7aQN6QlCpUZ,U6DZmDLW.R5lf1S0lH4mRKHzpKvFAYhBAbJGYUYDQH8AqoIYd8SRoCj5.EsvL+Up,NULL,202011
2020-11,NULL,NULL,#NAME?,UQyfYMbNobmLv0IYe3hhRJo671Yd3v9j9bSH1VPyXJE3mCKbsUjg5ZxThfckuLTg,NULL,202011
2020-11,NULL,NULL,#NAME?,W5ztjFsSlfW2enIHGtzDjUtlLWAXa7uXuHlA9xkHhlxOsL8G4f7wjRXUgACCPjO3,NULL,202011
2020-11,NULL,NULL,#NAME?,WjWADJaUirhHIbit.lxjqJNerAwFqrnyYcYZmcF+wsmdGLv2.0SRzp3SwR9sHh3L,NULL,202011
2020-11,NULL,NULL,#NAME?,Wv6pRvfPFOaak2LZVErViMyJHHZxHSXo+sz0gY1h6N5wX6NeuKgJC+jL7j14jq.d,NULL,202011
2020-11,NULL,NULL,#NAME?,WwTFV14DqSCw8G9jeuguId2ZQKSLSOcgDtw1Pn4IofJJyzwCLnBJW3WIFkYRt52T,NULL,202011
2020-11,NULL,NULL,#NAME?,Y9ZDn+1d4fttYJJ.LG1tywQMwKrlJFMvobYRM3624qTx.BcDJqSjM0A28SViJimz,NULL,202011
2020-11,NULL,NULL,#NAME?,YXy370epbyWLlQaylaDhAApArBrs99chQLGpa2CKnSnajmEjRZcM5Pt3flPXgH6Q,NULL,202011
2020-11,NULL,NULL,+MqYh0NRthgDOBFas+WRDt.iqM.k.s+.tcVRg+r6QuTOlTzjZLRmLQxjZvk.AxXS,YhlnYWZPXgxmYHwg3JCcVuGCTUSbLXbU.vOd7Y3LncTQJ3RSEJ37doEoUm4t8a3m,NULL,202011
2020-11,NULL,NULL,#NAME?,Z7eYs2Htqia6yBEyfNNTDSZkcFl5lribLFXprcEjCCLhXg6faIzxjYEZDYTV4qz3,NULL,202011
2020-11,NULL,NULL,#NAME?,ZLe+6H35pVR7mm4NYUgQMyhbzNU5gRFXVQqmy7xt.2VGXeJXr4zQcyMq.DSQUrrb,NULL,202011
2020-11,NULL,NULL,#NAME?,actH6aomOQuon0kePMVNGjkwXnH5eM+XkkbO51iVOWotikGVoSr6eANBJKzpXFHv,NULL,202011
2020-11,NULL,NULL,#NAME?,bJ7.rP.Rfmy+1Y2mmLAyL.tMdQENreJtFiw9.xDVBPUPMR0ci4cU0QwbXCkE+1sZ,NULL,202011
2020-11,NULL,NULL,#NAME?,eKsRwOMhmordxaSZWVAQWCB30HrTzYe5hZgIuSW9C2ULSLIQ68qrDmaQ8A8Pj3EC,NULL,202011
